,Close,21-Day MA,200-Day MA
199,2583.3,2889.2380952380954,2800.31625
200,2596.65,2870.6380952380955,2806.9615000000003
201,2607.7,2853.1642857142856,2813.69625
202,2587.35,2834.880952380952,2812.9257499999994
203,2580.5,2819.1309523809523,2811.85475
204,2650.1,2806.2023809523807,2811.3592500000004
205,2719.8,2793.6095238095236,2811.2477499999995
206,2741.45,2782.147619047619,2811.2340000000004
207,2788.25,2771.359523809524,2811.45
208,2749.25,2759.4,2811.7560000000003
209,2723.15,2745.930952380952,2811.8309999999997
210,2735.9,2735.3619047619045,2811.94625
211,2734.9,2725.9190476190474,2812.02775
212,2713.3,2714.6071428571427,2811.9022500000005
213,2657.15,2704.740476190476,2811.7544999999996
214,2687.75,2696.397619047619,2811.808
215,2706.15,2690.192857142857,2811.94075
216,2896.1,2691.0095238095237,2813.1427499999995
217,2815.25,2689.330952380952,2820.5472499999996
218,2853.25,2701.8547619047617,2828.1135
219,2853.3,2713.359523809524,2835.6605
220,2915.4,2729.1738095238097,2843.5772500000003
221,2878.05,2742.57380952381,2851.27425
222,2855.6,2754.378571428572,2859.0415000000003
223,2884.3,2768.519047619048,2866.9365
224,2900.25,2783.745238095238,2874.8109999999997
225,2349.35,2769.4238095238093,2880.0294999999996
226,2378.9,2753.190476190476,2885.5052499999997
227,2388.2,2736.3690476190477,2891.08275
228,2395.5,2717.6666666666665,2896.6890000000003
229,2393.9,2700.7452380952377,2902.3982499999997
230,2394.4,2685.0904761904762,2908.0322499999997
231,2400.7,2669.128571428572,2904.9097500000003
232,2377.45,2652.1071428571427,2901.7925
233,2394.3,2636.9166666666665,2898.7810000000004
234,2420.2,2625.6333333333337,2895.67275
235,2437.75,2613.7285714285717,2892.7652500000004
236,2461.1,2602.059523809524,2889.90825
237,2457.05,2581.152380952381,2887.1022500000004
238,2455.75,2564.0333333333338,2884.2355
239,2459.35,2545.2761904761905,2881.6025
240,2424.05,2524.8357142857144,2879.0745
241,2433.95,2501.9095238095238,2876.61975
242,2464.15,2482.2000000000003,2874.3252500000003
243,2495.6,2465.057142857143,2872.28825
244,2521.0,2447.7571428571428,2870.0952500000003
245,2558.1,2431.464285714286,2868.1595
246,2527.15,2439.930952380952,2866.08175
247,2562.55,2448.6761904761906,2864.1715000000004
248,2565.05,2457.097619047619,2862.3622499999997
249,2578.05,2465.790476190476,2860.55575
250,2586.85,2474.9785714285713,2858.6307500000003
251,2605.55,2485.0333333333338,2856.7247500000003
252,2584.95,2493.807142857143,2854.7557500000003
